№,Секунда,Микросекунда
1,16,391379
2,16,401701
3,16,411824
4,16,421998
5,16,432105
6,16,442305
7,16,452433
8,16,462646
9,16,472764
10,16,482921
11,16,493121
12,16,503378
13,16,513592
14,16,523757
15,16,533946
16,16,544096
17,16,554283
18,16,564455
19,16,574658
20,16,584823
21,16,595007
22,16,605370
23,16,615548
24,16,625762
25,16,635940
26,16,646108
27,16,656295
28,16,666524
29,16,676710
30,16,686939
31,16,697133
32,16,707368
33,16,717546
34,16,727721
35,16,737909
36,16,748145
37,16,758344
38,16,768483
39,16,778693
40,16,788856
41,16,799045
42,16,809287
43,16,819463
44,16,829660
45,16,839865
46,16,850046
47,16,860227
48,16,870426
49,16,880601
50,16,890735
51,16,901307
52,16,911419
53,16,921579
54,16,932146
55,16,942279
56,16,952393
57,16,962565
58,16,972740
59,16,982926
60,16,993103
61,17,3294
62,17,13479
63,17,23657
64,17,33813
65,17,44004
66,17,54168
67,17,64370
68,17,74499
69,17,84707
70,17,94876
71,17,105061
72,17,115290
73,17,125477
74,17,135618
75,17,145702
76,17,155925
77,17,166476
78,17,177575
79,17,187712
80,17,197847
81,17,207965
82,17,218091
83,17,228346
84,17,238547
85,17,248737
86,17,258945
87,17,269104
88,17,279346
89,17,289534
90,17,299666
91,17,309853
92,17,320060
93,17,330230
94,17,340483
95,17,350688
96,17,360810
97,17,370988
98,17,381113
99,17,391291
100,17,401494
101,17,411722
102,17,421873
103,17,432062
104,17,442371
105,17,452542
106,17,462807
107,17,472940
108,17,483052
109,17,493198
110,17,503412
111,17,513489
112,17,524344
113,17,534428
114,17,545300
115,17,555386
116,17,565989
117,17,576125
118,17,586421
119,17,596539
120,17,607142
121,17,617220
122,17,629067
123,17,639142
124,17,649569
125,17,660067
126,17,671990
127,17,682070
128,17,692440
129,17,702517
130,17,712885
131,17,722966
132,17,733098
133,17,743210
134,17,753447
135,17,763516
136,17,773671
137,17,783845
138,17,794006
139,17,804196
140,17,814583
141,17,825518
142,17,835621
143,17,846252
144,17,856463
145,17,867099
146,17,877258
147,17,887414
148,17,897625
149,17,907813
150,17,918017
151,17,928152
152,17,938363
153,17,948544
154,17,958720
155,17,969046
156,17,979224
157,17,990285
158,18,489
159,18,10636
160,18,20827
161,18,31017
162,18,41172
163,18,51386
164,18,61582
165,18,71785
166,18,82019
167,18,92209
168,18,102397
169,18,112612
170,18,122783
171,18,132926
172,18,143069
173,18,153189
174,18,163526
175,18,173716
176,18,183927
177,18,194211
178,18,204412
179,18,214545
180,18,224732
181,18,234868
182,18,245057
183,18,255186
184,18,265399
185,18,275557
186,18,285755
187,18,295991
188,18,306083
189,18,316322
190,18,326510
191,18,336731
192,18,346939
193,18,357099
194,18,367310
195,18,377436
196,18,387612
197,18,397795
198,18,407983
199,18,418152
200,18,428371
201,18,438625
202,18,448801
203,18,459039
204,18,469228
205,18,479363
206,18,489569
207,18,499842
208,18,509990
209,18,520283
210,18,530407
211,18,540530
212,18,550664
213,18,560908
214,18,571070
215,18,581199
216,18,591386
217,18,601579
218,18,611782
219,18,621939
220,18,632051
221,18,642196
222,18,652383
223,18,662608
224,18,672814
225,18,683026
226,18,693202
227,18,703409
228,18,713585
229,18,723841
230,18,734072
231,18,744264
232,18,754440
233,18,764639
234,18,774815
235,18,784966
236,18,795172
237,18,805368
238,18,815583
239,18,825735
240,18,835924
241,18,846088
242,18,856274
243,18,866424
244,18,876633
245,18,886756
246,18,896934
247,18,907128
248,18,917315
249,18,927483
250,18,937683
251,18,947806
252,18,958001
253,18,968129
254,18,978318
255,18,988473
256,18,998703
257,19,8966
258,19,19171
259,19,29490
260,19,39937
261,19,50420
262,19,60584
263,19,70744
264,19,80899
265,19,91016
266,19,101208
267,19,111400
268,19,121604
269,19,131762
270,19,141997
271,19,152181
272,19,162358
273,19,172577
274,19,182804
275,19,192975
276,19,203164
277,19,213407
278,19,223584
279,19,233782
280,19,243973
281,19,254095
282,19,264292
283,19,274462
284,19,284639
285,19,294831
286,19,305023
287,19,315220
288,19,325424
289,19,335616
290,19,345793
291,19,356005
292,19,366195
293,19,376319
294,19,386512
295,19,396638
296,19,406851
297,19,417053
298,19,427243
299,19,437390
300,19,447592
